Signature	Category
C=C(N(C(=C)C)C)C	0
N=1C=CC(=CC=1C)C	0
O=C2C=1C(O)=CC=CC=1C(C(=O)C)C(=C)C2	0
N=C(NO)C	0
O=C(C)Cl	0
N(=C)SC(=C)C	0
C=C(N)C1=CC=CC=C1C	0
O(C(=C)N)C(=C)C	0
OC1=CC=CC(=C1(C=C))C	0
N1=CC(=NC=2C=C(N)C=CC1=2)C	0
C=C(N)C=C(N)C	0
O=C(N=C)C(=C)C	0
O=C(C=1C(OC)=CC=CC=1C)C	0
O=N(=O)C(=CC)C(=C)N	0
NC(C1=CC=CC=C1C)C	0
O(C=CC=CC)C	0
C=CC=2C1=CC=CC=C1N(C=2C)C	0
C=CC(=CC)CN1C(C)C1C	0
C=C1C=CC=C2C=CC(=C12)C	0
N=2C=1C(C=C)=C(C=CC=1C(=CC=2C)C)C	0
O(N)CC(=C)C	0
O=C1C(=C)CC(=O)C2=CC=CC=C12	0
OC(=C)C(=C(C)C)C(O)C	0
C=CC1=CC=CCC1(=C)	0
O=C(OC(C)(C)C)C(N)C	0
O(C=CC=C)CC	0
C=C(C(=C(N)C)N(C)C)C	0
O=C(C(C(=C)N)=C(N)C)C	0
NN(C)CCCl	0
N=C(N(C(=C)C)C)C	0
N=C(C=C(C)C)C	0
O=S(=O)(OC)C	0
C1=CC=C2C=C(C=CC2(=C1))C	0
OC1=CC=CC(=C1)C	0
O=C(C=1C(O)=C(C(=CC=1C)C)C(O)C)C	0
C=C(N)C(C(=C)C)=C(N)C	0
OC1C(OCCC1(N))C	0
N=C(N)C=CC	0
N1=CC(=NC2=CC=CC=C12)C	0
C=C(N)C(=CC)N(C)C	0
N(=CC)N(N)C	0
C=CC(C(=C)N)=C(C)C	0
N1=CC=CC(C(=C)N)=C1C	0
O=C1C(=C(O)C)C(=C)CC(=C1C(O)=C)C	0
N(=C)C(=C(N)N)C1=CC=CC=C1	0
NN(C)CCN	0
C=C1C=C(C=CC1=C(N)C)C	0
NC1CC1	0
C1=CC(NC)=C(C=C1C)C	0
O=C1C(C=C)=C(C)CC(=C)C1=C(O)C	0
O=C1C(=C)CC(C=2C=CC=C(O)C1=2)C	0
NC1=CC=C(C=C1)NS	0
O=C(C(=C)C)N(O)O	0
O1C2=CC(=CC(=C2(OC1))C)C	0
OC1=CC=C(C(=C)C)C(=C1)C	0
C=C(C=1C=CC(=CC=1C)C)C	0
C=CC(=CC)NC(C(=C)C)=C(C)C	0
[N-]=[N+]=NCC	0
NNC	0
C=C(N)C1=CC=C(N)C=C1	0
NN(C=C(C)C)C	0
OC1OC(C)C(O)C(N)C1	0
C=C1C=CC=C(N)C1	0
NC1=CC=C(N)C(=C1)C	0
FC(=CC)C(=C)N	0
O=C1C=2C=C(C=C(O)C=2(C(=O)CC1(=C)))C	0
C=C(C(=C(C)C)SC)C	0
C=C(NCCCN)C	0
C=C(C)C(Cl)Cl	0
OC(C=1C=C(C=C)C(=CC=1C)C)C	0
N=CN(C(=C)N)C	0
C=C1C=C(C(=CC1(=CC))C(=C)C)C	0
OC1=CC=C(C=C)C(=C1)C	0
N=NC=1C=CC(N)=CC=1(N)	0
C1=CC=C2C(=C1)C=C(C=C2C)C	0
C=C1C=CC(C(=C)C)=C1C	0
O=NC1=CC=C(O)C=C1	0
N=NCC(O)C	0
O=C(C)C(Cl)Cl	0
C=C1C(=C)CC2=CC(N)=CC=C12	0
C=C1C=CC(=CC)C(=C)C1	0
O1CC1C	0
C=C(N)C=C(C)C	0
C=CC(N)=C(N)C	0
O=N(=O)N	0
O=N(=O)C1=CC=C(C=C1)S	0
OC(O)CC(N)C	0
N(C(=C)C)=C(C)C	0
O=N(=O)C1=CC=C(OC(=C)C)C=C1	0
NC=1C=CC(=CC=1(N))C	0
O=N(=O)C=1C=CC(O)=C(OC)C=1	0
NC(C)CCCN(CC)CC	0
OC(=C(N)C)N(N)N	0
C=C2C1=CC=C(N)C=C1CCC2	0
O=NC(C=C)=CC	0
O=N(=O)C=1C=CC=C(C=1C)N(=O)=O	0
FC1=CC=CC(=C1)C	0
OCCN(N)C	0
OC1C(OC(OC(C)C)CC1(N))C	0
O=C1C(=C(C)CC1)C	0
O(C)C(OC(C(=C)C)CC)CC	0
O1C(=C)COC=2C=CC(N)=CC1=2	0
N=NC	0
C=C(C=1C=C(C=CC=1C)C)C	0
O=C(OC)N(N)C	0
OC=2C=CC(=C1C=2(C=CCC1(=C)))C	0
OC(=C)C=1C=CC(=C)CC=1C	0
C=CSC(=C)N	0
C=CC1=CC(C=C)=C(C=C1C)C	0
C=C(N)C1=CC=CC=C1(N)	0
OC2C=CC=1C=CC(=CC=1C2(O))C	0
OC1=CC=C(O)C(=C1)C	0
NC=1C=CC(=CC=1C)C	0
C=C(C1=CC=CC=C1C)C	0
NC1=CC=C(C(=C1)C)N(C)S	0
NN(C)CCCC	0
O=C(C)CN(N)C	0
N=NNCC	0
N(=C)C=1C=CC(N)=CC=1(N)	0
N=C1C=C(C=CC1=C(C)C)C	0
N=NO	0
C=CC=1C=C(C=CC=1C)C	0
O=C(C)C(O)(CC)CC	0
NC1=CC(=C(NC)C(=C1)C)C	0
O=N(=O)C1=CC=C(C)CC1(=C)	0
O=NC	0
N(C)CCCN(CC)CCCl	0
C=C(C(=C(C)C)CBr)C	0
OC=CC=CC=C	0
O(CCC)S	0
OC(CN)CN	0
C=C(C1=CC=CCC1(=C))C	0
NN(C)CCC	0
OC(N)=CC(=C)C	0
OC1=CC=CC(C(=C)C)=C1C	0
OC(C)C(N)CC	0
OC(C)CN(N)C	0
N1=CN(C(N)=C1C)CC	0
C=C(C1=C(C=C(C=C1C)C)C)C	0
O=C1C=C(OC)C(=O)C(N)=C1	0
NC=1C=C(C=CC=1N(C)C)C	0
C=C1C=CC(=CC)C1(=C)	0
O1CC1CCC(=C)C	0
N=C(C(=CC)C(=C)N)S	0
C=CC=1C=CC(=C(C=1C)CC)C	0
N=C(C=C(N)C)C	0
O=C(OC)C=CC(O)=C	0
C=C(C1=CC=C(N)C=C1C)C	0
C=C1C(=CC)CCC(=C)C1	0
OC(N)=CC=C	0
N=C(N)N(C(=C)C)C	0
C=C1C=CC(C(=C)C)=C(C)C1	0
N(=C(OC)C(=C)C)S	0
N(=C(N(C)C)C)C	0
OCC1OC1	0
O=N(=O)C(=CC)C(=N)C	0
C=C(C1=CC=C(N)CC1(=C))C	0
N1=CC=C(C=C)C(=C1)C	0
OC(=NC)C=CC(O)=C	0
C=CC1=CC=CC=C1C	0
O=C(C=1C(O)=C(C(=CC=1C)C)CC)C	0
O=N(=O)C2=CC=C(C=1C2(=CC=CC=1C))C	0
O1C=2C=CC(=C(C=2(OC1))C(=C)C)C	0
O=N(=O)C1=CC=C(N)C=C1	0
OC(C(C(=C)C)=C(C)C)C	0
O=C1C(=CC)C(=C)CC(=C)C1=C(N)C	0
N#N	0
C=C(N)C(C(=C)N)=C(N)C	0
O=C(C(C(=N)C)=C(N)C)C	0
O=C(OCN(N)C)C	0
N(=C(NC)SC)C	0
N1C(C)C1C	0
O=C1C(=C(O)C)C(=C)CC(=C)C1=C(O)C	0
O=N(=O)C(=NC)N(C)C	0
NCCN(CC)CC	0
O=C1C(=CC)C(=C)CC(=C1(C(O)=C))C	0
N(=NC(C=C)=C(N)C)C1=CC=CC=C1	0
NC1=CC=C(N)C=C1	0
OC(=C(O)C)C(=C)C	0
NC=1C=CC=C(N)C=1	0
N=C(C(C(=C)C)=C(N)C)C	0
N(=C(N(C)C)SC)C	0
N1(CC)C(C)C1C	0
N(=C)C1=CC=C(N)C=C1C	0
N=NC(C=C)=C(N)C	0
N=C1C=CC(=CC)C(=C)C1	0
C=C1C=CC=CC1=C(C)C	0
OCC(CBr)Br	0
NN(C)CCCCC	0
N(=C1C=CC=CC1(=C))C	0
O1C(C=C)=C(C(=C)C1=CC)C	0
C=C(C=CC1=CC=C(N)C=C1)C	0
C1=CC=C(C(=C1)N(C)C)C	0
O1C(=C(OC1)C)C(=C)C	0
N(=C1C=CC(=CC1(=C))C)C	0
C=C1C=C(N)C=CC1(=CC)	0
O=C(ON)C	0
C=C(C1=C(C)CCCC1)C	0
C=C(N)C(N)=CC	0
C=CC1=CC=C(N)C=C1C	0
N(=C(C=C)C(=C)C)C	0
NC1=CC=C(C=C1)SC	0
OCCBr	0
O=C(OCC)N(N)C	0
O=C(C)C(Cl)(Cl)Cl	0
O=C(C1=CC=CC=C1)N(O)O	0
C=C1NC2=CC=CC=C2(C1(=C))	0
C=C(N)C=1C=CC(N)=CC=1(N)	0
C=C(C(=CC)N(C)S)C	0
O=C(C)CN	0
O=C(C=1C=CC=C(OC)C=1C)C	0
O(C=1C=CC(N)=CC=1(N))C	0
C=CC=1C=C(C(=CC=1C)C)C	0
N(=NC(C=C)=C(N)C)C(=C)C	0
C=CC=1C=CC(=CC=1C)C	0
O(C1OC(C)CC(N)C1)C(C)C	0
[N-]=[N+]=NC(=N)N	0
OC=1C=C(N)C=CC=1(OC)	0
[N-]=[N+]=N	0
C=C(C)C1NC1(C)	0
OC(N)=C(N=C)C(=C)N	0
NC1=CC=C(C=C1)C	0
O=N(=O)C(=CC)SC	0
C=C(C=1C=CC(N)=CC=1(N))C	0
NC1=CC=C(C=C1)CN	0
OC(C=1C=CC(=CC=1C)C)C	0
C=C2C=1C(=CC=CC=1C)C=CC2	0
O(N)CCC	0
N=C(NN)N(N)C	0
O=C(C(C(=C)C)=C(N)C)C	0
OC2C(=CC1OC1C2(O))C	0
[N-]=[N+]=NC(=C)C	0
O=N(=O)C=1C=CC(=N)CC=1	0
C1=CC=C2C(=C1)C=CC=C2C	0
N=N	0
O(C(=C)C)C1=CC=C(N)C=C1	0
C=C(N)C=1C=CC(=C)CC=1C	0
O=C(C(C=C)=CC)N(C(=C)C)SC	0
O=NC=1C=CC(=CC=1C)C	0
O1CC1CC(=C)C	0
O1C(N)=CC=C1C=CC	0
NC1=CC=CC(=C1)C	0
N=C(O)C=CC(OC)=CC	0
ON(O)C	0
O=C1C(=CC)C(=C)C(=C)C1(=CC)	0
C=2C=C1C=CC=C(C1=C(C=2)C)C	0
