CYP450 modulation {predicted by ochem.eu/model/5};Numeric prediction for CYP450 modulation {predicted by ochem.eu/model/5};Estimated accuracy{CYP450 modulation predicted by CYP450 Inhibition (SMF, J48, Bagging)};;
Noninhibitor;0,99;0,95;;
Inhibitor;0;0,96;;
Inhibitor;0,01;0,95;;
Noninhibitor;1;0,96;;
Inhibitor;0;0,96;;
Inhibitor;0;0,96;;
Inhibitor;0;0,96;;
Inhibitor;0,01;0,95;;
Noninhibitor;0,96;0,93;;
Inhibitor;0,45;0,57;;
Noninhibitor;0,97;0,94;;
Inhibitor;0,04;0,93;;
Inhibitor;0,45;0,57;;
Inhibitor;0;0,96;;
Noninhibitor;0,99;0,95;;
Noninhibitor;0,94;0,9;;
Inhibitor;0,03;0,94;;
Noninhibitor;0,81;0,81;;
Inhibitor;0;0,96;;
Inhibitor;0,15;0,81;;
Noninhibitor;0,85;0,81;;
Noninhibitor;0,99;0,95;;
Inhibitor;0,06;0,9;;
Inhibitor;0,05;0,91;;
Noninhibitor;0,77;0,79;;
Noninhibitor;1;0,96;;
Noninhibitor;1;0,96;;
Inhibitor;0,07;0,87;;
Inhibitor;0,24;0,78;;
Noninhibitor;0,63;0,63;;
Inhibitor;0,21;0,79;;
Noninhibitor;0,86;0,82;;
Noninhibitor;0,72;0,75;;
Noninhibitor;1;0,96;;
Noninhibitor;0,61;0,63;;
Inhibitor;0;0,96;;
Noninhibitor;0,79;0,79;;
Inhibitor;0,26;0,75;;
Inhibitor;0;0,96;;
Inhibitor;0,01;0,95;;
Noninhibitor;0,99;0,95;;
Inhibitor;0;0,96;;
Inhibitor;0,03;0,94;;
Noninhibitor;0,85;0,81;;
Noninhibitor;0,66;0,67;;
Inhibitor;0,12;0,84;;
Noninhibitor;0,97;0,94;;
Noninhibitor;0,51;0,57;;
Noninhibitor;0,99;0,95;;
Noninhibitor;0,85;0,81;;
Noninhibitor;0,84;0,8;;
Inhibitor;0;0,96;;
Inhibitor;0,22;0,79;;
Inhibitor;0,09;0,86;;
Noninhibitor;0,84;0,8;;
Inhibitor;0,02;0,95;;
Noninhibitor;0,89;0,82;;
Noninhibitor;0,95;0,91;;
Noninhibitor;0,97;0,94;;
Noninhibitor;0,69;0,69;;
Noninhibitor;0,52;0,57;;
Noninhibitor;0,75;0,76;;
Noninhibitor;0,51;0,57;;
Noninhibitor;0,95;0,91;;
Noninhibitor;0,63;0,63;;
Noninhibitor;0,87;0,82;;
Noninhibitor;1;0,96;;
Inhibitor;0,03;0,94;;
Noninhibitor;0,89;0,82;;
Noninhibitor;0,85;0,81;;
Inhibitor;0;0,96;;
Inhibitor;0,18;0,81;;
Noninhibitor;0,82;0,81;;
Inhibitor;0;0,96;;
Inhibitor;0,29;0,74;;
Inhibitor;0,01;0,95;;
Inhibitor;0,29;0,74;;
Noninhibitor;0,95;0,91;;
Inhibitor;0;0,96;;
Noninhibitor;0,93;0,87;;
Noninhibitor;0,68;0,68;;
