Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category
N=C(OC)N	1,7E-22	0E0	96.0	3.0	0.0	0.0	2
FC1=CC=C(N)C=C1	2,22E-9	0E0	32.0	0.0	0.0	0.0	2
N=C(NCCN(C)C)C	5,31E-9	0E0	39.0	2.0	0.0	0.0	2
O=S(=O)(N)N	0,01327	0E0	12.0	2.0	0.0	0.0	5
FC1=CC=C(C=C1)C(=N)C	6,1E-15	0E0	77.0	6.0	0.0	0.0	2
N(C)C(CC)CC(C)C	4,6E-10	0E0	72.0	12.0	0.0	0.0	5
O=C(C)COC	0,00123	0E0	14.0	1.0	0.0	0.0	5
N1(CC)CC(C)(C)CC(C)(C)C1C(C)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
OC=1C=CC(=CC=1(OC))CC	0,00647	0E0	11.0	1.0	0.0	0.0	5
C=CC(=CC)C1=CC=CC(=C1)C	0,00016	0E0	14.0	0.0	0.0	0.0	2
C1=CC=C(C=C1)CN2CC(C)(C)C2	0,00106	0E0	17.0	2.0	0.0	0.0	5
O=C(OC)C(C)(C)CC	0,02386	0E0	6.0	0.0	0.0	0.0	5
OC(=NCC(=C)C)CC	0,02386	0E0	6.0	0.0	0.0	0.0	2
O=C(N1CCC2(CC1)(CCN(C)CC2))CO	0,00005	0E0	28.0	4.0	0.0	0.0	5
O=C(OC)N2CCC1(CN(CC)CCC1)(CC2)	0,00198	0E0	10.0	0.0	0.0	0.0	5
OC(CC)C(C)C	1,7E-10	0E0	55.0	5.0	0.0	0.0	5
O=C(O)C(N)CCCN	0,00198	0E0	10.0	0.0	0.0	0.0	5
O=C(OC(O)C)C	0,0345	0E0	10.0	2.0	0.0	0.0	5
C=C(N)C(=C(C)C)I	0,00647	0E0	11.0	1.0	0.0	0.0	5
O=C(N2CCCC1(CN(C(=N)O)CC1)(C2))C	0,00015	0E0	37.0	9.0	0.0	0.0	5
C=CC(C)C(C)C	0,02151	0E0	11.0	2.0	0.0	0.0	5
N=C(N)NC1=CC=CC=C1	0,00004	0E0	42.0	10.0	0.0	0.0	2
N=C(N=C(O)OC)N	0,02386	0E0	6.0	0.0	0.0	0.0	2
OC=CC(O)C	0,02386	0E0	6.0	0.0	0.0	0.0	5
O=N(O)C(=C)N	0,00215	0E0	13.0	1.0	0.0	0.0	5
FC=1C=CC(=CC=1(F))C(=N)C	0,00368	0E0	9.0	0.0	0.0	0.0	2
CC1CCC(C)(C(C)C)C(C)C1	0,00017	0E0	28.0	5.0	0.0	0.0	5
O=C(O)CNC	0,00492	0E0	14.0	2.0	0.0	0.0	5
N=C(C(C1=CC=CC(=C1)C)=C(O)C)C	3,90E-6	0E0	20.0	0.0	0.0	0.0	2
O=C1C(=C(O)N)C(=O)C(N(C)C)C(C)C1	0,00057	0E0	12.0	0.0	0.0	0.0	5
O=C1C=C(C(=O)C2=CC=CC=C12)C	0,00379	0E0	19.0	4.0	0.0	0.0	2
C=CC=1NC=C(C=1C)C	3,7E-12	0E0	82.0	12.0	0.0	0.0	2
NC(=C(CS)CS)C	0,00687	0E0	8.0	0.0	0.0	0.0	5
N1(C)CCC(C)(C)CC1	0,01327	0E0	12.0	2.0	0.0	0.0	5
C=C(CNC)S	7,7E-15	0E0	62.0	2.0	0.0	0.0	2
OC=CC(=C)C	7,7E-22	0E0	84.0	1.0	0.0	0.0	2
N=C(O)COC	2,15E-8	0E0	54.0	8.0	0.0	0.0	5
N1=CC=CC=C1	5,3E-21	0E0	155.0	24.0	0.0	0.0	2
O=C(C(=C)C)N2CCC1(CNC1)CC2	1,2E-10	0E0	98.0	22.0	0.0	0.0	5
N(C)(C)C(C(C)C)C(C)(C)C	0,01327	0E0	12.0	2.0	0.0	0.0	5
C=1C=C(C=C(C=1)C)N2CC(C2)(CC)CC	0,02151	0E0	11.0	2.0	0.0	0.0	2
C=C(C1=CC=C(N)C=C1C)C	0,0005	0E0	21.0	3.0	0.0	0.0	2
