Smiles	p_value_original	p_value_trained	active_entry_original	inactive_entry_original	active_entry_trained	inactive_entry_trained	category	accuracy
null	0E0	0,0077	0.0	0.0	13.0	2.0	0	0.8
N=C(OC)N	1,7E-22	9,2E-26	96.0	3.0	98.0	1.0	0	0.9413131313131309
FC1=CC=C(N)C=C1	2,22E-9	0,00001	32.0	0.0	33.0	5.0	0	0.9257894736842107
N=C(NCCN(C)C)C	5,31E-9	0E0	39.0	2.0	0.0	0.0	2	0.0
null	0E0	0,00098	0.0	0.0	17.0	2.0	0	0.79
null	0E0	0,00115	0.0	0.0	14.0	1.0	0	0.7553333333333334
O=S(=O)(N)N	0,01327	0,01265	12.0	2.0	12.0	2.0	7	0.9028571428571429
FC1=CC=C(C=C1)C(=N)C	6,1E-15	2,4E-23	77.0	6.0	83.0	0.0	0	0.9398795180722894
N(C)C(CC)CC(C)C	4,6E-10	0E0	72.0	12.0	0.0	0.0	5	0.0
O=C(C)COC	0,00123	0,00115	14.0	1.0	14.0	1.0	7	0.9206666666666666
N1(CC)CC(C)(C)CC(C)(C)C1C(C)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.9416666666666665
null	0E0	0,01265	0.0	0.0	12.0	2.0	0	0.7371428571428572
null	0E0	1,2E-11	0.0	0.0	109.0	25.0	0	0.8590298507462674
OC=1C=CC(=CC=1(OC))CC	0,00647	0,03319	11.0	1.0	10.0	2.0	7	0.8308333333333332
C=CC(=CC)C1=CC=CC(=C1)C	0,00016	0,00015	14.0	0.0	14.0	0.0	0	0.9578571428571431
C1=CC=C(C=C1)CN2CC(C)(C)C2	0,00106	0E0	17.0	2.0	0.0	0.0	5	0.0
O=C(OC)C(C)(C)CC	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.79
OC(=NCC(=C)C)CC	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
null	0E0	0,03319	0.0	0.0	10.0	2.0	0	0.755
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.9533333333333333
O=C(N1CCC2(CC1)(CCN(C)CC2))CO	0,00005	0E0	28.0	4.0	0.0	0.0	5	0.0
O=C(OC)N2CCC1(CN(CC)CCC1)(CC2)	0,00198	0,00189	10.0	0.0	10.0	0.0	7	0.892
OC(CC)C(C)C	1,7E-10	1,0E-12	55.0	5.0	57.0	3.0	7	0.8815000000000001
O=C(O)C(N)CCCN	0,00198	0,00189	10.0	0.0	10.0	0.0	7	0.8899999999999999
O=C(OC(O)C)C	0,0345	0,03319	10.0	2.0	10.0	2.0	7	0.8583333333333334
C=C(N)C(=C(C)C)I	0,00647	0,00054	11.0	1.0	12.0	0.0	7	0.8433333333333333
O=C(N2CCCC1(CN(C(=N)O)CC1)(C2))C	0,00015	0,00003	37.0	9.0	38.0	8.0	7	0.7843478260869565
C=CC(C)C(C)C	0,02151	0E0	11.0	2.0	0.0	0.0	5	0.0
N=C(N)NC1=CC=CC=C1	0,00004	1,17E-9	42.0	10.0	48.0	4.0	0	0.8798076923076923
null	0E0	0,00101	0.0	0.0	11.0	0.0	0	0.82
null	0E0	2,13E-6	0.0	0.0	55.0	13.0	0	0.7686764705882354
null	0E0	8,35E-7	0.0	0.0	46.0	8.0	0	0.852037037037037
N=C(N=C(O)OC)N	0,02386	0E0	6.0	0.0	0.0	0.0	2	0.0
OC=CC(O)C	0,02386	0,02319	6.0	0.0	6.0	0.0	7	0.8183333333333332
O=N(O)C(=C)N	0,00215	0,01265	13.0	1.0	12.0	2.0	7	0.8192857142857143
FC=1C=CC(=CC=1(F))C(=N)C	0,00368	0,00353	9.0	0.0	9.0	0.0	0	0.9566666666666666
CC1CCC(C)(C(C)C)C(C)C1	0,00017	1,02E-9	28.0	5.0	33.0	0.0	7	0.8833333333333333
O=C(O)CNC	0,00492	0,00065	14.0	2.0	15.0	1.0	7	0.8993749999999999
N=C(C(C1=CC=CC(=C1)C)=C(O)C)C	3,90E-6	0E0	20.0	0.0	0.0	0.0	2	0.0
O=C1C(=C(O)N)C(=O)C(N(C)C)C(C)C1	0,00057	0,00054	12.0	0.0	12.0	0.0	7	0.8841666666666668
O=C1C=C(C(=O)C2=CC=CC=C12)C	0,00379	0,00001	19.0	4.0	22.0	1.0	0	0.7460869565217392
null	0E0	0,02319	0.0	0.0	6.0	0.0	0	0.7400000000000001
null	0E0	2,22E-8	0.0	0.0	56.0	9.0	0	0.8304615384615384
C=CC=1NC=C(C=1C)C	3,7E-12	8,6E-15	82.0	12.0	85.0	9.0	0	0.8861702127659578
NC(=C(CS)CS)C	0,00687	0,00661	8.0	0.0	8.0	0.0	7	0.9237500000000001
N1(C)CCC(C)(C)CC1	0,01327	0,01265	12.0	2.0	12.0	2.0	7	0.8642857142857141
C=C(CNC)S	7,7E-15	5,8E-15	62.0	2.0	62.0	2.0	0	0.9493750000000007
null	0E0	0,03126	0.0	0.0	8.0	1.0	0	0.7544444444444445
OC=CC(=C)C	7,7E-22	6,9E-24	84.0	1.0	85.0	0.0	0	0.9459999999999995
N=C(O)COC	2,15E-8	3,4E-13	54.0	8.0	59.0	3.0	7	0.8654838709677422
N1=CC=CC=C1	5,3E-21	1,7E-16	155.0	24.0	148.0	31.0	0	0.9008379888268152
O=C(C(=C)C)N2CCC1(CNC1)CC2	1,2E-10	0E0	98.0	22.0	0.0	0.0	5	0.0
null	0E0	0,00354	0.0	0.0	12.0	1.0	0	0.7899999999999998
N(C)(C)C(C(C)C)C(C)(C)C	0,01327	0,01265	12.0	2.0	12.0	2.0	7	0.86
